,birth,death,gender,hair,height,name,race,realm,spouse
0,,,Female,,,Adanel,Men,,Belemir
1,TA 2978,"February 26 ,3019",Male,Dark (book) Light brown (movie),,Boromir,Men,,
2,,"March ,3019",Male,,,Lagduf,Orcs,,
3,TA 280,TA 515,Male,,,Tarcil,Men,Arnor,Unnamed wife
4,,,Male,,,Fire-drake of Gondolin,Dragons,,
5,SA 2709,SA 2962,Male,,,Ar-Adûnakhôr,Men,Númenor,Unnamed wife
6,,,Male,,,Annael,Elves,,
7,YT,FA 455,Male,Golden,,Angrod,Elves,,Eldalótë
8,,,,,,Angrim,Unknown,,
9,SA 3219,SA 3440,Male,,,Anárion,Men,Gondor,Unnamed wife
10,SA 3118,Still alive,Male,,Tall,Ar-Pharazôn,Men,Númenor,Tar-Míriel
11,SA 2876,SA 3102,Male,,,Ar-Sakalthôr,Men,Númenor,Unnamed wife
12,SA 2960,SA 3177,Male,,,Ar-Gimilzôr,Men,Númenor,Inzilbêth
13,TA 2866,TA 2977,Male,,,Angelimir,Men,,Unnamed wife
14,,,,,,Angelimar,Unknown,,
15,"Late ,Third Age",,Male,,,Angbor,Men,,
16,"Perhaps ,Firstborn",,,,,Nurwë,Elves,,
17,,,,,,Linda (Baggins) Proudfoot,Unknown,,
18,,,,,,Bodo Proudfoot,Unknown,,
19,,FA 510,Male,,Tall,Penlod,Elves,,
20,"Early ,First Age",,Male,,Tallest of the Elves of Gondolin,Pengolodh,Elves,,
21,TA 654,TA 913,Male,,,Tarannon Falastur,Men,Gondor,Berúthiel
22,SA 2277,SA 2637,Female,,,Tar-Vanimeldë,Men,Númenor,Herucalmo
23,SA 1320,SA 1731,Female,,,Tar-Telperiën,Men,Númenor,None
24,SA 2136,SA 2526,Male,,,Tar-Telemmaitë,Men,Númenor,Unnamed wife
25,SA 1174,SA 1574,Male,,,Tar-Súrion,Men,Númenor,Unnamed wife
26,SA 3035,SA 3255,Male,,,Tar-Palantir,Men,Númenor,Unnamed wife
27,SA 3117,SA 3319,Female,,,Tar-Míriel,Men,Númenor,Ar-Pharazôn
28,SA 1474,SA 1873,Male,,,Tar-Minastir,Men,Númenor,Unnamed wife
29,SA 350,SA 751,Male,,,Tar-Elendil,Men,Númenor,Unnamed wife
30,SA 2516,SA 2825,Male,,,Tar-Calmacil,Men,Númenor,Unnamed wife
31,SA 1800,SA 2221,Male,,,Tar-Atanamir,Men,Númenor,Unnamed wife
